id,name,description,price,address,type,thumbnail,bedrooms,bathrooms,parking
25,Chalé nas colinas,Descrição do chalé nas colinas,370000,30 Estrada das Colinas,Chalé,thumbnail25.jpg,2,2,2
26,Casa à beira do lago,Descrição da casa à beira do lago,690000,99 Lago Calmo,Casa,thumbnail26.jpg,4,3,3
27,Apartamento com terraço,Descrição do apartamento com terraço,280000,11 Rua do Terraço,Apartamento,thumbnail27.jpg,2,1,1
28,Retiro na floresta,Descrição do retiro na floresta,420000,55 Estrada da Floresta,Chalé,thumbnail28.jpg,3,2,2
29,Condomínio seguro,Descrição do condomínio seguro,550000,123 Condomínio Seguro,Casa,thumbnail29.jpg,4,3,2
30,Estúdio moderno,Descrição do estúdio moderno,150000,33 Rua Moderna,Estúdio,thumbnail30.jpg,1,1,0
31,Apartamento elegante,Descrição do apartamento elegante,220000,101 Rua Elegante,Apartamento,thumbnail31.jpg,2,1,1
32,Chalé com vista,Descrição do chalé com vista,350000,55 Estrada com Vista,Chalé,thumbnail32.jpg,3,2,2
33,Casa clássica,Descrição da casa clássica,380000,77 Rua Clássica,Casa,thumbnail33.jpg,3,3,2
34,Loft no coração da cidade,Descrição do loft no coração da cidade,190000,22 Rua do Coração,Loft,thumbnail34.jpg,2,1,1
35,Apartamento com piscina,Descrição do apartamento com piscina,280000,44 Rua da Piscina,Apartamento,thumbnail35.jpg,2,2,1
36,Retiro à beira do lago,Descrição do retiro à beira do lago,600000,88 Lago Sereno,Chalé,thumbnail36.jpg,3,2,2
37,Condomínio familiar,Descrição do condomínio familiar,480000,99 Condomínio Familiar,Casa,thumbnail37.jpg,4,3,2
38,Casa nas colinas,Descrição da casa nas colinas,320000,22 Estrada Tranquila,Casa,thumbnail38.jpg,3,2,2
39,Apartamento à beira do rio,Descrição do apartamento à beira do rio,210000,44 Rua do Rio,Apartamento,thumbnail39.jpg,2,1,1
40,Chalé acolhedor,Descrição do chalé acolhedor,270000,66 Rua da Montanha,Chalé,thumbnail40.jpg,2,2,2
41,Condomínio com piscina,Descrição do condomínio com piscina,480000,99 Condomínio Aquático,Casa,thumbnail41.jpg,4,3,2
42,Estúdio no centro histórico,Descrição do estúdio no centro histórico,150000,21 Rua Histórica,Estúdio,thumbnail42.jpg,1,1,0
43,Casa moderna,Descrição da casa moderna,350000,77 Rua Moderna,Casa,thumbnail43.jpg,3,2,2
44,Apartamento com varanda,Descrição do apartamento com varanda,230000,33 Rua da Varanda,Apartamento,thumbnail44.jpg,2,2,1
45,Retiro nas montanhas,Descrição do retiro nas montanhas,390000,55 Estrada das Montanhas,Chalé,thumbnail45.jpg,3,2,2
46,Condomínio exclusivo,Descrição do condomínio exclusivo,550000,101 Condomínio de Luxo,Casa,thumbnail46.jpg,4,3,3
47,Estúdio com terraço,Descrição do estúdio com terraço,175000,15 Rua do Terraço,Estúdio,thumbnail47.jpg,1,1,0
48,Casa de fazenda,Descrição da casa de fazenda,430000,66 Estrada da Fazenda,Casa,thumbnail48.jpg,4,3,2
49,Chalé à beira do lago,Descrição do chalé à beira do lago,320000,88 Lago Tranquilo,Chalé,thumbnail49.jpg,2,2,2
50,Apartamento elegante,Descrição do apartamento elegante,275000,44 Rua Elegante,Apartamento,thumbnail50.jpg,2,1,1
51,Casa moderna 2,Descrição da casa moderna 2,260000,54 Rua Moderna 2,Casa,thumbnail51.jpg,3,2,2
52,Apartamento na praia,Descrição do apartamento na praia,380000,100 Avenida da Praia,Apartamento,thumbnail52.jpg,3,2,1
53,Chalé nas montanhas 2,Descrição do chalé nas montanhas 2,420000,55 Estrada da Montanha 2,Chalé,thumbnail53.jpg,4,2,2
54,Condomínio exclusivo 2,Descrição do condomínio exclusivo 2,600000,123 Condomínio Exclusivo 2,Casa,thumbnail54.jpg,5,3,2
55,Estúdio urbano 2,Descrição do estúdio urbano 2,170000,33 Rua do Centro,Estúdio,thumbnail55.jpg,1,1,0
56,Casa à beira do lago 2,Descrição da casa à beira do lago 2,720000,66 Avenida à Beira do Lago,Casa,thumbnail56.jpg,4,3,3
57,Apartamento com jardim 2,Descrição do apartamento com jardim 2,310000,77 Rua do Jardim,Apartamento,thumbnail57.jpg,3,2,1
58,Retiro nas colinas,Descrição do retiro nas colinas,450000,55 Estrada das Colinas 2,Chalé,thumbnail58.jpg,3,2,2
59,Condomínio de luxo 2,Descrição do condomínio de luxo 2,750000,99 Condomínio de Luxo 2,Casa,thumbnail59.jpg,5,3,3
60,Loft histórico,Descrição do loft histórico,190000,44 Rua Histórica 2,Loft,thumbnail60.jpg,2,1,0
61,Casa com piscina,Descrição da casa com piscina,580000,88 Rua da Piscina,Casa,thumbnail61.jpg,4,3,2
62,Apartamento de luxo,Descrição do apartamento de luxo,680000,55 Avenida de Luxo,Apartamento,thumbnail62.jpg,3,2,1
63,Chalé à beira do rio,Descrição do chalé à beira do rio,350000,66 Rua à Beira do Rio,Chalé,thumbnail63.jpg,2,2,2
64,Condomínio tranquilo,Descrição do condomínio tranquilo,420000,100 Rua Tranquila,Casa,thumbnail64.jpg,4,3,2
65,Estúdio no centro da cidade 2,Descrição do estúdio no centro da cidade 2,160000,21 Rua do Centro 2,Estúdio,thumbnail65.jpg,1,1,0
66,Casa de campo 2,Descrição da casa de campo 2,320000,33 Estrada do Campo 2,Casa,thumbnail66.jpg,3,2,2
67,Loft urbano 3,Descrição do loft urbano 3,200000,22 Rua Urbana,Loft,thumbnail67.jpg,2,1,1
68,Apartamento com vista para o mar,Descrição do apartamento com vista para o mar,480000,77 Rua do Mar,Apartamento,thumbnail68.jpg,3,2,1
69,Retiro nas montanhas 3,Descrição do retiro nas montanhas 3,420000,55 Estrada da Montanha 3,Chalé,thumbnail69.jpg,4,2,2
70,Condomínio beira-mar,Descrição do condomínio beira-mar,750000,99 Avenida Beira-Mar,Casa,thumbnail70.jpg,5,3,2
71,Estúdio no centro histórico 3,Descrição do estúdio no centro histórico 3,170000,44 Rua Histórica 3,Estúdio,thumbnail71.jpg,2,1,0
72,Casa com jardim 3,Descrição da casa com jardim 3,310000,66 Rua do Jardim 3,Casa,thumbnail72.jpg,3,2,1
73,Chalé nas colinas 3,Descrição do chalé nas colinas 3,390000,55 Estrada das Colinas 3,Chalé,thumbnail73.jpg,2,2,2
74,Apartamento de designer 2,Descrição do apartamento de designer 2,620000,77 Rua do Designer,Apartamento,thumbnail74.jpg,3,2,1
75,Retiro na floresta 2,Descrição do retiro na floresta 2,470000,99 Estrada da Floresta 2,Chalé,thumbnail75.jpg,4,3,2
76,Casa clássica 2,Descrição da casa clássica 2,440000,33 Rua Clássica 2,Casa,thumbnail76.jpg,4,3,2
77,Estúdio com terraço 2,Descrição do estúdio com terraço 2,195000,66 Rua do Terraço 2,Estúdio,thumbnail77.jpg,1,1,1
78,Apartamento à beira do lago 2,Descrição do apartamento à beira do lago 2,380000,44 Lago Sereno 2,Apartamento,thumbnail78.jpg,3,2,2
79,Condomínio moderno,Descrição do condomínio moderno,520000,22 Rua Moderna 3,Casa,thumbnail79.jpg,5,3,2
80,Chalé à beira do lago 2,Descrição do chalé à beira do lago 2,450000,88 Lago Tranquilo 2,Chalé,thumbnail80.jpg,2,2,2
81,Casa contemporânea,Descrição da casa contemporânea,310000,77 Rua Contemporânea,Casa,thumbnail81.jpg,3,2,1
82,Apartamento com varanda 2,Descrição do apartamento com varanda 2,250000,99 Rua da Varanda 2,Apartamento,thumbnail82.jpg,2,1,1
83,Retiro nas colinas 4,Descrição do retiro nas colinas 4,390000,44 Estrada das Colinas 4,Chalé,thumbnail83.jpg,3,2,2
84,Condomínio exclusivo 3,Descrição do condomínio exclusivo 3,780000,100 Condomínio de Luxo 3,Casa,thumbnail84.jpg,5,3,3
85,Estúdio com vista para o mar,Descrição do estúdio com vista para o mar,360000,66 Rua com Vista para o Mar,Estúdio,thumbnail85.jpg,2,2,0
86,Casa com piscina 2,Descrição da casa com piscina 2,670000,88 Rua da Piscina 2,Casa,thumbnail86.jpg,4,3,2
87,Apartamento de luxo 2,Descrição do apartamento de luxo 2,700000,55 Avenida de Luxo 2,Apartamento,thumbnail87.jpg,3,2,1
88,Chalé à beira do rio 2,Descrição do chalé à beira do rio 2,400000,66 Rua à Beira do Rio 2,Chalé,thumbnail88.jpg,2,2,2
89,Condomínio tranquilo 2,Descrição do condomínio tranquilo 2,480000,100 Rua Tranquila 2,Casa,thumbnail89.jpg,4,3,2
90,Estúdio no centro da cidade 3,Descrição do estúdio no centro da cidade 3,185000,44 Rua do Centro 3,Estúdio,thumbnail90.jpg,1,1,0
91,Casa de campo 3,Descrição da casa de campo 3,350000,33 Estrada do Campo 3,Casa,thumbnail91.jpg,3,2,2
92,Loft urbano 4,Descrição do loft urbano 4,220000,22 Rua Urbana 2,Loft,thumbnail92.jpg,2,1,1
93,Apartamento com vista para o mar 2,Descrição do apartamento com vista para o mar 2,500000,77 Rua do Mar 2,Apartamento,thumbnail93.jpg,3,2,1
94,Retiro nas montanhas 4,Descrição do retiro nas montanhas 4,460000,55 Estrada da Montanha 4,Chalé,thumbnail94.jpg,4,2,2
95,Condomínio beira-mar 2,Descrição do condomínio beira-mar 2,780000,99 Avenida Beira-Mar 2,Casa,thumbnail95.jpg,5,3,2
96,Estúdio no centro histórico 4,Descrição do estúdio no centro histórico 4,190000,44 Rua Histórica 4,Estúdio,thumbnail96.jpg,2,1,1
97,Casa com jardim 4,Descrição da casa com jardim 4,320000,66 Rua do Jardim 4,Casa,thumbnail97.jpg,3,2,1
98,Chalé nas colinas 4,Descrição do chalé nas colinas 4,420000,55 Estrada das Colinas 4,Chalé,thumbnail98.jpg,2,2,2
99,Apartamento de designer 3,Descrição do apartamento de designer 3,640000,77 Rua do Designer 2,Apartamento,thumbnail99.jpg,3,2,1
100,Retiro na floresta 3,Descrição do retiro na floresta 3,480000,99 Estrada da Floresta 3,Chalé,thumbnail100.jpg,4,3,2
